playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
suerowa01,2023,1,LAN,NL,1,0,5,0,0,0,0,24,6,7,2,5,9,0.2,7.88,0,0,0,0,35,3,7,0,0,0
sweetde01,2023,1,SEA,AL,0,0,2,0,0,0,0,6,2,2,1,1,1,0.25,9,0,0,0,0,9,2,2,0,0,0
syndeno01,2023,1,LAN,NL,1,4,12,12,0,0,0,166,71,44,12,9,38,0.313,7.16,0,0,6,0,246,0,44,0,4,5
thenju01,2023,1,SEA,AL,0,0,9,0,0,0,0,33,14,6,3,2,5,0.304,4.91,0,1,0,0,48,4,6,0,0,1
thorntr01,2023,2,SEA,AL,1,2,23,1,0,0,0,78,23,6,5,5,21,0.235,2.08,0,0,0,0,103,6,11,0,0,2
topaju01,2023,1,SEA,AL,5,4,75,0,0,0,3,207,61,20,4,18,61,0.24,2.61,4,0,3,0,279,14,26,1,3,7
uriasju01,2023,1,LAN,NL,11,8,21,21,0,0,0,352,112,60,24,24,117,0.252,4.6,0,2,6,1,482,0,61,0,6,11
varlagu01,2023,2,LAN,NL,1,1,8,0,0,0,0,35,12,4,0,8,14,0.279,3.09,1,2,0,0,52,4,6,1,0,3
vasqura02,2023,1,NYA,AL,2,2,11,5,0,0,0,113,30,12,5,18,33,0.211,2.87,0,3,4,0,166,1,12,0,1,0
vesiaal01,2023,1,LAN,NL,2,5,56,1,0,0,1,149,52,24,7,17,64,0.263,4.35,3,2,2,0,217,10,27,0,0,1
weavelu01,2023,2,SEA,AL,0,1,5,1,0,0,0,40,16,9,2,3,8,0.296,6.08,0,0,1,0,58,1,9,0,0,1
weavelu01,2023,3,NYA,AL,1,1,3,3,0,0,0,40,14,5,3,3,16,0.264,3.38,0,0,0,0,57,0,5,0,1,1
weberry01,2023,1,NYA,AL,1,0,8,0,0,0,1,43,17,5,2,1,7,0.298,3.14,0,0,1,0,60,4,5,0,1,2
weissgr01,2023,1,NYA,AL,0,0,17,0,0,0,0,60,21,9,3,8,22,0.273,4.05,0,1,1,1,87,6,9,1,0,1
willilu01,2023,1,LAN,NL,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
woobr01,2023,1,SEA,AL,4,5,18,18,0,0,0,263,75,41,13,31,93,0.227,4.21,1,1,7,0,371,0,44,1,1,6
yarbrry01,2023,2,LAN,NL,4,2,11,2,0,0,2,116,44,21,8,5,38,0.278,4.89,0,0,2,0,165,4,21,0,0,2
