playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
munozan01,2023,1,SEA,AL,P,52,0,147,1,2,0,0,,,,,
murfepe01,2023,1,SEA,AL,P,16,0,42,1,1,1,0,,,,,
murphto04,2023,1,SEA,AL,C,41,41,1054,349,3,3,0,1,10,27,1,
outmaja01,2023,1,LAN,NL,OF,158,134,3641,318,6,2,1,,,,,
raleica01,2023,1,SEA,AL,C,128,114,3114,1083,40,10,7,3,31,78,27,
ramirni01,2023,1,NYA,AL,P,32,0,122,3,0,2,0,,,,,
rayro02,2023,1,SEA,AL,P,1,1,10,0,0,1,0,,,,,
rodonca01,2023,1,NYA,AL,P,14,14,193,0,2,0,0,,,,,
rodrijo06,2023,1,SEA,AL,P,1,0,9,0,1,0,0,,,,,
rodriju01,2023,1,SEA,AL,OF,152,152,4027,355,3,2,2,,,,,
sauceta01,2023,1,SEA,AL,P,52,0,143,0,10,2,0,,,,,
severlu01,2023,1,NYA,AL,P,19,18,268,7,13,2,1,,,,,
sewalpa01,2023,1,SEA,AL,P,45,0,129,3,2,0,0,,,,,
suerowa01,2023,1,LAN,NL,P,5,0,24,0,1,0,0,,,,,
topaju01,2023,1,SEA,AL,P,75,0,207,7,13,2,0,,,,,
torregl01,2023,1,NYA,AL,2B,145,141,3767,234,344,15,80,,,,,
torrelu01,2023,2,SEA,AL,C,2,1,36,12,0,0,0,0,0,3,0,
trammta01,2023,1,SEA,AL,OF,12,8,220,14,0,0,0,,,,,
vargami01,2023,1,LAN,NL,1B,5,0,45,9,2,0,2,,,,,
vargami01,2023,1,LAN,NL,2B,78,69,1841,120,156,5,46,,,,,
varlagu01,2023,2,LAN,NL,P,8,0,35,0,2,1,1,,,,,
vasqura02,2023,1,NYA,AL,P,11,5,113,3,2,0,0,,,,,
vesiaal01,2023,1,LAN,NL,P,56,1,149,0,3,0,0,,,,,
weissgr01,2023,1,NYA,AL,P,17,0,60,2,2,0,0,,,,,
wellsau01,2023,1,NYA,AL,C,19,18,474,171,3,1,0,0,9,17,3,
willilu01,2023,1,LAN,NL,P,1,0,3,0,0,0,0,,,,,
willilu01,2023,1,LAN,NL,SS,4,3,78,6,5,0,1,,,,,
wongko01,2023,1,SEA,AL,2B,65,57,1540,86,139,3,21,,,,,
wongko01,2023,2,LAN,NL,2B,11,3,135,7,15,1,3,,,,,
woobr01,2023,1,SEA,AL,P,18,18,263,7,5,1,1,,,,,
bazared01,2023,2,SEA,AL,P,9,0,41,1,1,0,0,,,,,
bickfph01,2023,1,LAN,NL,P,36,0,126,3,3,0,0,,,,,
bowmama01,2023,1,NYA,AL,P,3,0,12,0,0,0,0,,,,,
britojh01,2023,1,NYA,AL,P,25,13,271,8,8,1,1,,,,,
buschmi02,2023,1,LAN,NL,1B,4,0,30,11,1,0,2,,,,,
buschmi02,2023,1,LAN,NL,2B,1,1,27,4,2,0,1,,,,,
buschmi02,2023,1,LAN,NL,3B,13,10,297,7,16,4,3,,,,,
buschmi02,2023,1,LAN,NL,OF,1,0,3,0,0,0,0,,,,,
campbis01,2023,1,SEA,AL,P,27,0,86,1,1,1,0,,,,,
canzodo01,2023,2,SEA,AL,OF,35,27,751,63,2,1,0,,,,,
colege01,2023,1,NYA,AL,P,33,33,627,10,19,2,0,,,,,
